ram_gb,storage_gb,screen_size_inch,brand_grouped,model_grouped,cpu_brand,cpu_tier,gpu_tier,storage_type_clean,condition_clean,warranty_status,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,cpu_missing,gpu_missing,ram_suspicious,storage_suspicious,screen_suspicious,potential_dedicated_gpu,repair_mismatch,is_soft_duplicate_spec,target_price,log_target_price,source,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu
4.0,256.0,14.0,ASUS,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,14960000.0,16.52089059735552,websach,0,1,0,0,0
16.0,512.0,14.0,Dell,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,22866000.0,16.945161692817106,websach,0,1,0,0,0
16.0,1024.0,15.6,Dell,Other,Intel,Upper-mid,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,23738000.0,16.982587739725133,websach,0,1,0,0,0
4.0,256.0,15.6,Acer,Other,Intel,Entry,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,9950000.0,16.11308320963728,websach,0,1,0,0,0
16.0,512.0,15.6,HP,Other,Intel,Upper-mid,RTX 4000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,27913000.0,17.144603123917076,websach,0,1,0,0,0
32.0,1024.0,16.0,Lenovo,Other,Intel,High-end,RTX 5000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,52800000.0,17.782021767615884,websach,0,1,0,0,0
16.0,1024.0,16.0,Gigabyte,Other,Intel,Upper-mid,RTX 4000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,26250000.0,17.083176585097146,websach,0,1,0,0,0
16.0,512.0,15.6,HP,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,20600000.0,16.840801682303496,websach,0,1,0,0,0
8.0,512.0,15.6,ASUS,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,17117000.0,16.655582738099252,websach,0,1,0,0,0
16.0,512.0,15.6,ASUS,Other,Intel,Upper-mid,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,17300000.0,16.666217117271472,websach,0,1,0,0,0
8.0,512.0,13.3,Lenovo,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,17810000.0,16.695270711414075,websach,0,1,0,0,0
4.0,512.0,15.6,ASUS,Other,AMD,Entry,AMD Radeon,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,12490000.0,16.34043896216581,websach,0,1,0,0,0
8.0,512.0,15.6,Acer,Other,AMD,Mid-range,AMD Radeon,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,12800000.0,16.36495580701484,websach,0,1,0,0,0
16.0,512.0,13.3,HP,Other,Intel,Mid-range,Other,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,26499000.0,17.09261759213265,websach,0,1,0,0,1
16.0,1024.0,14.0,Lenovo,Other,Intel,Mid-range,Other,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,23490000.0,16.972085399206403,websach,0,1,0,0,1
16.0,512.0,16.0,Acer,Other,Intel,Other,RTX 4000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,27490000.0,17.129332896518292,websach,0,1,0,1,0
8.0,512.0,15.6,Dell,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,13690000.0,16.43217627031065,websach,0,1,0,0,0
8.0,512.0,15.6,Acer,Other,Intel,Mid-range,Other,SSD,Mới,not_active,False,,False,False,False,False,True,False,False,False,False,False,True,15650000.0,16.5659815388482,websach,0,1,0,0,1
8.0,512.0,15.6,ASUS,Other,AMD,Upper-mid,Other RTX,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,19500000.0,16.785925074816024,websach,0,1,0,0,0
8.0,512.0,14.0,ASUS,Other,Intel,Other,Other,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,12690000.0,16.356324918492774,websach,0,1,0,1,1
8.0,512.0,15.6,ASUS,Other,Intel,Upper-mid,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,15799000.0,16.575457268150128,websach,0,1,0,0,0
16.0,512.0,14.0,Lenovo,Other,Intel,Other,Other,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,16990000.0,16.648135552506265,websach,0,1,0,1,1
8.0,512.0,13.3,ASUS,Other,Intel,Upper-mid,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,39180000.0,17.483676996003894,websach,0,1,0,0,0
8.0,256.0,14.0,Dell,Other,Intel,Upper-mid,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,24390000.0,17.009683811192513,websach,0,1,0,0,0
32.0,1024.0,16.0,MSI,Other,Intel,High-end,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,43990000.0,17.59947291605734,websach,0,1,0,0,0
8.0,512.0,14.0,Dell,Other,Intel,Mid-range,Other,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,20680000.0,16.8446776559604,websach,0,1,0,0,1
16.0,512.0,15.6,MSI,Other,Intel,Mid-range,Other RTX,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,27699000.0,17.13690690552526,websach,0,1,0,0,0
16.0,512.0,16.0,Acer,Other,Intel,Upper-mid,RTX 4000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,27900000.0,17.14413728263389,websach,0,1,0,0,0
16.0,512.0,15.6,Gigabyte,Other,Intel,Mid-range,Other RTX,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,23190000.0,16.959231752353748,websach,0,1,0,0,0
8.0,512.0,15.6,Dell,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,14690000.0,16.502677616223576,websach,0,1,0,0,0
8.0,256.0,15.6,HP,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,15480000.0,16.555059490725338,websach,0,1,0,0,0
16.0,512.0,17.3,Gigabyte,Other,Intel,Upper-mid,Other RTX,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,25590000.0,17.057712247213736,websach,0,1,0,0,0
16.0,512.0,13.3,Lenovo,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,30999000.0,17.249465536123708,websach,0,1,0,0,0
16.0,,,Other,Other,Apple,Mid-range,Apple GPU,Other,Mới,not_active,False,,False,True,True,False,False,False,False,False,False,False,False,36490000.0,17.412548835817397,websach,1,1,0,0,0
16.0,512.0,16.0,ASUS,Other,Intel,Mid-range,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,24490000.0,17.01377546976134,websach,0,1,0,0,0
32.0,1024.0,16.0,MSI,Other,Intel,High-end,RTX 5000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,38490000.0,17.465909051240704,websach,0,1,0,0,0
4.0,,,Other,Other,Intel,Mid-range,Intel Integrated,Other,Mới,not_active,False,,False,True,True,False,False,False,False,False,False,False,True,8290000.0,15.930560647738732,websach,1,1,0,0,0
8.0,1024.0,14.0,Dell,Other,Intel,Mid-range,Intel Integrated,HDD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,14290000.0,16.475070619885052,websach,0,1,0,0,0
16.0,512.0,13.4,Dell,Other,Intel,Upper-mid,Intel Integrated,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,28500000.0,17.1654146803266,websach,0,1,0,0,0
,1024.0,16.0,Lenovo,Other,AMD,Upper-mid,RTX 4000,SSD,Mới,not_active,False,,True,False,False,False,False,False,False,False,False,False,False,25400000.0,17.050259771358842,websach,0,1,0,0,0
8.0,512.0,15.6,ASUS,Other,Intel,Mid-range,Other RTX,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,18000000.0,16.705882371415992,websach,0,1,0,0,0
4.0,1024.0,14.0,ASUS,Other,Intel,Mid-range,Other,HDD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,15790000.0,16.574887449563047,websach,0,1,0,0,1
8.0,512.0,14.0,HP,Other,AMD,Mid-range,AMD Radeon,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,False,10290000.0,16.14668320499196,websach,0,1,0,0,0
8.0,512.0,15.6,Lenovo,Other,AMD,Mid-range,Other RTX,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,28950000.0,17.181080796525592,websach,0,1,0,0,0
16.0,512.0,16.1,HP,Other,Intel,Upper-mid,RTX 4000,SSD,Mới,not_active,False,,False,False,False,False,False,False,False,False,False,False,True,29990000.0,17.21637458406964,websach,0,1,0,0,0
