origin_clean,origin_missing_or_unknown,brand_clean,brand_mismatch_title,model_clean,model_recovered,_ram_gb,_storage_gb,_screen_size_inch,_title_ram_gb,_title_storage_gb,_title_cpu,_title_screen_size_inch,_ram_gb_filled,_storage_gb_filled,_screen_size_inch_filled,ram_missing,storage_capacity_missing,screen_missing,ram_suspicious,storage_missing_all,cpu_missing,cpu_brand,cpu_tier,gpu_missing,gpu_tier,potential_dedicated_gpu,warranty_months,warranty_status,has_warranty,storage_type_clean,was_storage_type_imputed,condition_clean,repair_mismatch,condition_warranty_inconsistent,brand_grouped,model_grouped,brand_is_rare,model_is_rare,_price
Nhật Bản,False,HP,False,EliteBook 8,EliteBook 8,16.0,512.0,13.95,16.0,,i5 1345u,,16.0,512.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Other,False,True,12800000.0
Việt Nam,False,ASUS,False,Vivobook 16,Vivobook 16,16.0,512.0,15.95,,,Unknown,,16.0,512.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,ASUS,Other,False,True,13800000.0
Mỹ,False,Apple,False,MacBook Air M1,MacBook Air M1,8.0,256.0,13.95,8.0,256.0,m1,13.0,8.0,256.0,13.95,False,False,False,False,False,False,Apple,Mid,False,Unclear,False,1.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Air M1,False,False,12500000.0
Unknown,True,Dell,False,Inspiron,Inspiron,16.0,256.0,,16.0,256.0,i5-8265u,,16.0,256.0,,False,False,True,False,False,False,Intel,Mid,True,Missing,False,,Manufacturer,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Inspiron,False,False,4200000.0
Unknown,True,Microsoft,False,Surface Laptop 7,Surface Laptop 7,16.0,512.0,13.95,16.0,,Unknown,,16.0,512.0,13.95,False,False,False,False,False,False,Unknown,Other,False,Integrated - Intel,False,12.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Microsoft,Other,False,True,19700000.0
Việt Nam,False,Lenovo,False,Dòng Khác,LOQ,32.0,512.0,15.95,,,Unknown,,32.0,512.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Dòng Khác,False,False,18000000.0
Unknown,True,Dell,False,Precision,Precision,16.0,512.0,15.95,,,Unknown,,16.0,512.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Precision,False,False,18300000.0
Nhật Bản,False,Lenovo,False,ThinkPad P1 Gen 8,ThinkPad P1 Gen 8,32.0,512.0,15.95,32.0,512.0,i7-10750h,,32.0,512.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Other,False,True,14500000.0
Mỹ,False,Dell,False,Precision 15 3000,Precision 15 3000,16.0,256.0,15.95,16.0,,i9 10885h,,16.0,256.0,15.95,False,False,False,False,False,False,Intel,High,False,Dedicated - Other/Entry,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Other,False,True,11900000.0
Unknown,True,ASUS,False,TUF Gaming A15,TUF Gaming A15,16.0,512.0,15.95,,512.0,ryzen 5,,16.0,512.0,15.95,False,False,False,False,False,False,AMD,Mid,False,Dedicated - Other/Entry,False,,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,ASUS,Other,False,True,13000000.0
