shop_1_name,product_id,spec_key,brand_clean,cpu_model_clean,ram_gb_clean,storage_gb_clean,screen_size_clean,shop_2_name,shop_3_name,shop_1_price_clean,shop_2_price_clean,shop_3_price_clean,price_median,price_spread_clean_pct,flag_price_spread_warn,flag_price_spread_critical,sample_group,shop_1_price_relative_outlier,shop_2_price_relative_outlier,shop_3_price_relative_outlier,shop_1_price_domain_outlier,shop_2_price_domain_outlier,shop_3_price_domain_outlier,Kích thước (inch),screen_size_outlier,Dung lượng RAM,ram_capacity_outlier,Hãng sản xuất,brand_grouped
masta.vn,1858,Unknown|UNKNOWN|8.0|Unknown|Unknown,Unknown,UNKNOWN,8.0,,,mobi9.vn,muabandienthoai24h.vn,37500000.0,38900000.0,42700000.0,38900000.0,0.1336760925449871,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
eaz.com.vn,3467,Unknown|1135G7|8.0|Unknown|14.0,Unknown,1135G7,8.0,,14.0,hugotech.vn,songphuong.vn,30799000.0,33000000.0,35490000.0,33000000.0,0.1421515151515151,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
laptop15.vn,285,Unknown|1360P|16.0|Unknown|16.0,Unknown,1360P,16.0,,16.0,laptoptcc.com,ngocnguyen.vn,16000000.0,18900000.0,18990000.0,18900000.0,0.1582010582010582,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
tinhochungphat.com,465,Unknown|1355U|16.0|Unknown|Unknown,Unknown,1355U,16.0,,,huecomputer.vn,vitinhkiengiang.com,14988000.0,14990000.0,15390000.0,14990000.0,0.0268178785857238,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
saleslaptop.vn,1612,Unknown|4030U|4.0|500.0|14.0,Unknown,4030U,4.0,500.0,14.0,phucanshop.com,4tcomputer.vn,4500000.0,8499000.0,9490000.0,8499000.0,0.5871278973996941,True,True,unknown_brand_rows,,,,,,,,,,,,Unknown
laptop15.vn,2795,Unknown|7730U|8.0|Unknown|Unknown,Unknown,7730U,8.0,,,truongthinh.top,laptopworld.vn,8500000.0,11190000.0,11990000.0,11190000.0,0.3118856121537087,True,False,unknown_brand_rows,,,,,,,,,,,,Unknown
hungphuc.vn,2858,Unknown|12450H|8.0|Unknown|Unknown,Unknown,12450H,8.0,,,hkc.vn,laptop15.vn,20590000.0,21100000.0,13700000.0,20590000.0,0.3593977659057795,True,False,unknown_brand_rows,,,,,,,,,,,,Unknown
pgluxury.com,602,Apple|16-CORE|128.0|8192.0|16.0,Apple,16-CORE,128.0,8192.0,16.0,mac18.vn,macone.vn,176990000.0,179400000.0,181740000.0,179400000.0,0.0264771460423634,False,False,high_price_premium_rows,,,,,,,,,,,,
vinhpici.vn,3376,MSI|285HX|96.0|6144.0|18.0,MSI,285HX,96.0,6144.0,18.0,tymo.vn,eaz.com.vn,162999000.0,163790000.0,175000000.0,163790000.0,0.0732706514439221,False,False,high_price_premium_rows,,,,,,,,,,,,
eaz.com.vn,1281,MSI|285HX|64.0|6144.0|18.0,MSI,285HX,64.0,6144.0,18.0,tymo.vn,vitinhmanhphat.com,148999000.0,153290000.0,154600000.0,153290000.0,0.0365385869919759,False,False,high_price_premium_rows,,,,,,,,,,,,
mac18.vn,1417,Apple|16-CORE|128.0|4096.0|16.2,Apple,16-CORE,128.0,4096.0,16.2,pgluxury.com,macone.vn,149900000.0,151890000.0,152340000.0,151890000.0,0.0160642570281124,False,False,high_price_premium_rows,,,,,,,,,,,,
kinglap.vn,4013,MSI|14900HX|128.0|4096.0|18.0,MSI,14900HX,128.0,4096.0,18.0,hanoinew.vn,vitinhmanhphat.com,142490000.0,146990000.0,149050000.0,146990000.0,0.0446288863187972,False,False,high_price_premium_rows,,,,,,,,,,,,
dienmayxanh.com,981,Acer|275HX|192.0|6144.0|18.0,Acer,275HX,192.0,6144.0,18.0,eaz.com.vn,laptopnew.vn,149290000.0,133999000.0,144990000.0,144990000.0,0.1054624456859093,False,False,high_price_premium_rows,,,,,,,,,,,,
bvtmobile.com,1871,Apple|16-CORE|128.0|4096.0|14.0,Apple,16-CORE,128.0,4096.0,14.0,mac18.vn,macshop24h.vn,140190000.0,135500000.0,141800000.0,140190000.0,0.0449390113417504,False,False,high_price_premium_rows,,,,,,,,,,,,
pgluxury.com,1028,Apple|16-CORE|128.0|2048.0|16.0,Apple,16-CORE,128.0,2048.0,16.0,mac18.vn,macshop24h.vn,133990000.0,135000000.0,136800000.0,135000000.0,0.0208148148148148,False,False,high_price_premium_rows,,,,,,,,,,,,
tnc.com.vn,4030,HP|285HX|32.0|1024.0|16.0,HP,285HX,32.0,1024.0,16.0,kinglap.vn,hitechpro.vn,127990000.0,132580000.0,151760000.0,132580000.0,0.179287977070448,False,False,high_price_premium_rows,,,,,,,,,,,,
xgear.net,4174,MSI|285HX|64.0|4096.0|18.0,MSI,285HX,64.0,4096.0,18.0,daiphugia.vn,zenotek.vn,130990000.0,131690000.0,131690000.0,131690000.0,0.0053155137064317,False,False,high_price_premium_rows,,,,,,,,,,,,
hungphuc.vn,2684,Acer|N4020|4.0|128.0|11.6,Acer,N4020,4.0,128.0,11.6,vodien.vn,hanhtech.com,3470000.0,3000000.0,3498000.0,3470000.0,0.1435158501440922,False,False,low_price_rows,,,,,,,,,,,,
letrangia.com,3367,Lenovo|Z3735F|2.0|32.0|11.6,Lenovo,Z3735F,2.0,32.0,11.6,compro.com.vn,vnit.vn,3700000.0,3850000.0,3900000.0,3850000.0,0.0519480519480519,False,False,low_price_rows,,,,,,,,,,,,
laptopvui.com,2438,Dell|5200U|4.0|500.0|15.6,Dell,5200U,4.0,500.0,15.6,maytinhnhapkhau.com.vn,laptop127.vn,3500000.0,4000000.0,5800000.0,4000000.0,0.575,True,True,low_price_rows,,,,,,,,,,,,
thienthanhcomputer.com,3681,HP|7020U|4.0|500.0|15.6,HP,7020U,4.0,500.0,15.6,laptopvienchinh.vn,mytholaptop.vn,4000000.0,4200000.0,5490000.0,4200000.0,0.3547619047619048,True,False,low_price_rows,,,,,,,,,,,,
shopee.vn,535,HP|N4020|4.0|128.0|14.0,HP,N4020,4.0,128.0,14.0,dienmaytrananh.com,vitinhthienlong.com,7500000.0,4100000.0,4350000.0,4350000.0,0.7816091954022989,True,True,low_price_rows,,,,,,,,,,,,
vodien.vn,875,HP|N3700|2.0|500.0|15.6,HP,N3700,2.0,500.0,15.6,viettinphatcomputer.com,compro.com.vn,3400000.0,4500000.0,6390000.0,4500000.0,0.6644444444444444,True,True,low_price_rows,,,,,,,,,,,,
maytinhquanganh.com,738,HP|6100U|4.0|500.0|14.0,HP,6100U,4.0,500.0,14.0,transustore.com,laptopminhha.vn,3799000.0,4500000.0,8000000.0,4500000.0,0.9335555555555556,True,True,low_price_rows,,,,,,,,,,,,
maytinhhoangha.com,1019,HP|8130U|4.0|500.0|14.0,HP,8130U,4.0,500.0,14.0,mytholaptop.vn,laptopminhha.vn,4200000.0,5490000.0,,4845000.0,0.2662538699690402,False,False,low_price_rows,,,,,,,,,,,,
tinhocsangtao.vn,1384,Acer|N5030|4.0|256.0|11.6,Acer,N5030,4.0,256.0,11.6,vodien.vn,laptopfull.com,6900000.0,3900000.0,4937000.0,4937000.0,0.6076564715414219,True,True,low_price_rows,,,,,,,,,,,,
laptopgiasi.vn,2593,Toshiba|3210M|4.0|320.0|15.6,Toshiba,3210M,4.0,320.0,15.6,maytinhdongbohp.vn,maytinhdongbodell.vn,4000000.0,4950000.0,5000000.0,4950000.0,0.202020202020202,False,False,low_price_rows,,,,,,,,,,,,
hungphuc.vn,2139,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,tncstore.vn,maytinhdatcang.vn,14800000.0,14990000.0,14990000.0,14990000.0,0.0126751167444963,False,False,soft_duplicate_groups,,,,,,,,,,,,
47computer.com,3770,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,dienmaythanhchuong.vn,viethand.com.vn,15690000.0,16200000.0,17290000.0,16200000.0,0.0987654320987654,False,False,soft_duplicate_groups,,,,,,,,,,,,
tinhocsangtao.vn,2716,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,vitinhminhhoang.vn,laptoptcc.com,20490000.0,16820000.0,17200000.0,17200000.0,0.2133720930232558,False,False,soft_duplicate_groups,,,,,,,,,,,,
tinhocsangtao.vn,14,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,vitinhsangtao.vn,compro.com.vn,17300000.0,17300000.0,18900000.0,17300000.0,0.0924855491329479,False,False,soft_duplicate_groups,,,,,,,,,,,,
tinhocsangtao.vn,1507,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,vitinhsangtao.vn,anp.com.vn,17350000.0,17350000.0,18690000.0,17350000.0,0.0772334293948126,False,False,soft_duplicate_groups,,,,,,,,,,,,
compro.com.vn,3834,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,longphuccctv.com,anp.com.vn,17000000.0,17490000.0,18490000.0,17490000.0,0.0851915380217267,False,False,soft_duplicate_groups,,,,,,,,,,,,
tinhocsangtao.vn,4188,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,vitinhsangtao.vn,anp.com.vn,18890000.0,18890000.0,19490000.0,18890000.0,0.0317628374801482,False,False,soft_duplicate_groups,,,,,,,,,,,,
maytinhgiare.vn,4278,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,svcvietnam.com.vn,compro.com.vn,9690000.0,18890000.0,18900000.0,18890000.0,0.4875595553202753,True,False,soft_duplicate_groups,,,,,,,,,,,,
compro.com.vn,2985,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,maytinhkiengiang.com,cameraquangngai.vn,18400000.0,19590000.0,19790000.0,19590000.0,0.0709545686574783,False,False,soft_duplicate_groups,,,,,,,,,,,,
anp.com.vn,656,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,viethantech.vn,maytinhgiapham.com,15990000.0,20000000.0,22450000.0,20000000.0,0.323,True,False,soft_duplicate_groups,,,,,,,,,,,,
maytinhvietnam.vn,1947,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,songphuong.vn,anp.com.vn,19590000.0,21590000.0,22490000.0,21590000.0,0.1343214451134784,False,False,soft_duplicate_groups,,,,,,,,,,,,
thegioipc.vn,1001,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,anp.com.vn,longphuccctv.com,18650000.0,22690000.0,22690000.0,22690000.0,0.1780520052886734,False,False,soft_duplicate_groups,,,,,,,,,,,,
laptopxachtay.com.vn,3793,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,bvtechvn.com,maytinhnangdong.vn,15990000.0,22990000.0,23500000.0,22990000.0,0.3266637668551544,True,False,soft_duplicate_groups,,,,,,,,,,,,
