experiment_type,experiment_name,model_name,target_used,tuning_stage,evaluation_scale,n_features,train_rows,valid_rows,test_rows,train_time_sec,predict_time_sec,best_iteration,valid_mae,valid_rmse,valid_r2,valid_mape,valid_mape_pct,valid_median_ae,valid_max_error,stage_number,stage_best_rank_metric,valid_log_scale_mae,valid_log_scale_rmse,valid_log_scale_r2,valid_log_scale_mape,valid_log_scale_mape_pct,valid_log_scale_median_ae,valid_log_scale_max_error,test_mae,test_rmse,test_r2,test_mape,test_mape_pct,test_median_ae,test_max_error,test_log_scale_mae,test_log_scale_rmse,test_log_scale_r2,test_log_scale_mape,test_log_scale_mape_pct,test_log_scale_median_ae,test_log_scale_max_error
exploration_result,lgbm_log_2_tree_complexity_0,LightGBM,log_target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,4.387298400000873,0.052385099999810336,2998.0,3.2651185808466874,5.673981534079968,0.8627539611502597,0.2765062007034953,27.65062007034953,1.8082261369086972,47.68216607495526,,,0.2224775236989191,0.2956109886009461,0.8606262052300522,0.11088494832322615,11.088494832322615,0.1693660615120668,1.4426124712988517,,,,,,,,,,,,,,
exploration_result,lgbm_log_2_tree_complexity_1,LightGBM,log_target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,5.607263300000341,0.0486455999998725,2152.0,3.207234667827999,5.49805096630551,0.8711330631552319,0.274717305831442,27.4717305831442,1.7604677313247379,46.674386287028256,,,0.21985864359441581,0.29410910278301095,0.8620388169908901,0.10998620214824946,10.998620214824946,0.1668768651003194,1.5018261248164664,,,,,,,,,,,,,,
exploration_result,lgbm_log_2_tree_complexity_2,LightGBM,log_target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,5.911770300001081,0.05122960000153398,1219.0,3.232543120074533,5.537396766601208,0.8692820379855637,0.275975675304718,27.5975675304718,1.7723752114577644,49.41065670021723,,,0.2210179818307246,0.2963274934838036,0.8599497552223381,0.11036346149860196,11.036346149860195,0.1729473083868842,1.5447166976889046,,,,,,,,,,,,,,
exploration_result,lgbm_log_2_tree_complexity_3,LightGBM,log_target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,10.774935299999925,0.027628300002106698,665.0,3.3168610780424546,5.727234937277142,0.8601656138955616,0.2802352221160812,28.02352221160812,1.8210196595771855,51.24439336003178,,,0.2251547113513928,0.303042731646099,0.8535303238275422,0.11181244346750524,11.181244346750525,0.17044494444681524,1.6998342650853315,,,,,,,,,,,,,,
stage_best_result,lgbm_log_2_tree_complexity_1,LightGBM,log_target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,5.607263300000341,0.0486455999998725,2152.0,3.207234667827999,5.49805096630551,0.8711330631552319,0.274717305831442,27.4717305831442,1.7604677313247379,46.674386287028256,2.0,valid_mae,0.21985864359441581,0.29410910278301095,0.8620388169908901,0.10998620214824946,10.998620214824946,0.1668768651003194,1.5018261248164664,,,,,,,,,,,,,,
exploration_result,lgbm_log_3_regularization_0,LightGBM,log_target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,5.331455800002004,0.04890469999736524,2059.0,3.205327962644702,5.533309274198536,0.8694749486604263,0.2743568274668795,27.435682746687952,1.7353642950999166,48.6256752177986,,,0.219445189755653,0.29345645281239896,0.8626504298791401,0.10983467064051324,10.983467064051323,0.16889907238261315,1.4919331054870895,,,,,,,,,,,,,,
exploration_result,lgbm_log_3_regularization_1,LightGBM,log_target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,5.846958000001905,0.05122699999992619,2226.0,3.2153228352579513,5.589940421882972,0.8667895359988265,0.27404768396261503,27.404768396261503,1.7398758713803657,50.024127556520085,,,0.2193718415733206,0.2936143297546086,0.862502604449341,0.10969252612338189,10.969252612338188,0.17164033572988924,1.5073792178765264,,,,,,,,,,,,,,
exploration_result,lgbm_log_3_regularization_2,LightGBM,log_target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,6.27140750000035,0.05481020000297576,2345.0,3.2687223349433543,5.764049245899334,0.8583621427571905,0.2758434147611301,27.58434147611301,1.7617326833228775,54.45593817985906,,,0.22131802643543433,0.2951635562159499,0.8610477941286736,0.1104239914712867,11.04239914712867,0.1732379993177493,1.4755278500973676,,,,,,,,,,,,,,
exploration_result,lgbm_log_3_regularization_3,LightGBM,log_target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,6.281067600000824,0.05746069999804604,2445.0,3.2473063139247773,5.6443064969898264,0.864185806109594,0.2755085046577126,27.55085046577126,1.7556921086808224,53.94718263186563,,,0.2204644794177305,0.2943906760467683,0.8617745288378063,0.11017345421855532,11.017345421855532,0.1695425375659041,1.5058345199505043,,,,,,,,,,,,,,
exploration_result,lgbm_log_3_regularization_4,LightGBM,log_target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,6.313304600000265,0.05808389999947394,2450.0,3.257963188709665,5.755519640369305,0.8587810223046034,0.2749792876817473,27.497928768174727,1.7510820587121056,57.37648550111503,,,0.22097456051300748,0.2948271149600718,0.861364382068957,0.11024838584333614,11.024838584333613,0.17307063271918288,1.4956300905894115,,,,,,,,,,,,,,
