Hãng sản xuất,Công nghệ CPU,Loại CPU,Dung lượng RAM,Loại RAM,Loại ổ cứng,Dung lượng ổ cứng (GB),Đồ họa đã làm sạch,Kích thước (inch),shop_1_price,shop_1_name,shop_2_price,shop_2_name,shop_3_price,shop_3_name
Hp,Intel Core i5,1135G7,4.0,DDR4,SSD,256.0,Intel Iris Xe,14.0,14627000,hkc.vn,16990000,tinhocsangtao.vn,13990000.0,esmartvn.com
Dell,Intel Core i5,8250U,8.0,DDR4,HDD,1024.0,AMD Radeon Graphics,15.6,13980000,thanhxuancomputer.com,14250000,compro.com.vn,14350000.0,sondat.vn
Acer,Intel Core i5,11400H,8.0,DDR4,SSD,512.0,RTX 3060,15.6,21590000,nhanhavui.com.vn,21990000,laptopdeal.vn,26390000.0,laptop368.vn
Hp,Intel Core i3,1005G1,4.0,DDR4,SSD,256.0,Intel UHD Graphics,15.6,6899000,maytinhquanganh.com,8900000,mytholaptop.vn,9850000.0,vinhhung.com.vn
Hp,Intel Core Ultra 7,258V,32.0,LPDDR5,SSD,1024.0,Intel Arc Graphics,14.0,48500000,hkc.vn,49890000,dienmayxanh.com,62088000.0,ben.com.vn
Acer,Intel Core i3,N305,8.0,LPDDR5,SSD,256.0,Intel UHD Graphics,15.6,7700000,tramanh.vn,8200000,mensa.com.vn,8990000.0,pc.pro.vn
Msi,Intel Core i7,10750H,16.0,DDR4,SSD,512.0,GTX 1660,17.3,31500000,compro.com.vn,32490000,viethoangcomputer.com,32619000.0,mylook.vn
Asus,Intel Core i3,8130U,4.0,DDR4,HDD,500.0,Intel UHD Graphics,14.0,11100000,cameranhapkhau.com,11700000,vinhhung.com.vn,11990000.0,hoangtuan.vn
Dell,Intel Core Ultra 5,236V,16.0,LPDDR5x,SSD,256.0,Intel Arc Graphics,14.0,30900000,laptopvip.vn,31790000,dienmaynguyenduc.vn,32990000.0,hungphatlaptop.com
Dell,Intel Core i5,1240P,16.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,14200000,shopee.vn,10900000,laptopkimanh.vn,12200000.0,laptoptrieugia.vn
Apple,Intel Core i5,,8.0,LPDDR3,SSD,128.0,Intel UHD Graphics,13.3,21789000,happytechstore.vn,21790000,nhatthanhstore.com,21990000.0,pgluxury.com
Acer,Intel Core i7,14650HX,16.0,DDR5,SSD,512.0,RTX 4060,16.0,26990000,laptopaz.vn,27690000,dienmaynguyenduc.vn,28490000.0,ttcenter.com.vn
Hp,AMD Ryzen 5,7535U,16.0,DDR5,SSD,512.0,AMD Radeon Graphics,16.0,18799000,eaz.com.vn,18890000,compro.com.vn,18900000.0,laptop123.com.vn
Msi,Intel Core i7,12650H,16.0,DDR4,SSD,512.0,RTX 3050,15.6,25590000,duyhungcomputer.vn,25730000,vitinhminhhoang.vn,26690000.0,compro.com.vn
Dell,Intel Core i7,8550U,8.0,DDR4,SSD + HDD,1152.0,Other GPU,15.6,27050000,osc.vn,27260000,compro.com.vn,27390000.0,laptopminhha.vn
Gigabyte,Intel Core i7,13650HX,16.0,DDR5,SSD,512.0,RTX 4050,16.0,29790000,dinhvangcomputer.vn,29890000,nova.com.vn,29890000.0,compro.com.vn
Asus,AMD Ryzen 5,3500U,8.0,DDR4,SSD,512.0,Unknown,14.0,11200000,shopee.vn,13690000,compro.com.vn,14950000.0,owlgaming.vn
Dell,Intel Core Ultra 7,165H,32.0,LPDDR5x,SSD,512.0,RTX 2000,16.0,36900000,laptoptanphu.com,37500000,hungphatlaptop.com,40500000.0,mac24h.vn
Dell,Intel Core i5,1235U,16.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,15450000,compro.com.vn,15450000,vitinhmanhphat.com,15500000.0,hoabinhcomputer.com
Lenovo,Intel Core i7,1260P,16.0,LPDDR5,SSD,512.0,Intel Iris Xe,14.0,25799000,eaz.com.vn,25899000,techgo.com.vn,27490000.0,laptoplenovo.com
Asus,Intel Core i5,7200U,4.0,DDR4,HDD,500.0,Other GPU,14.0,15000000,tashop.com.vn,15390000,vietphuongjsc.com,15890000.0,4tcomputer.vn
Dell,Intel core Ultra 7,155H,32.0,LPDDR5x,SSD,1024.0,Intel Arc Graphics,14.5,41990000,laptopxachtay.com.vn,45000000,laptopkiengiang.com,45000000.0,laptoptcc.com
Acer,Intel Core Ultra 5,228V,32.0,LPDDR5x,SSD,512.0,Intel Arc Graphics,14.0,35890000,compro.vn,36190000,loctai.com,36390000.0,dienmay.xyz
Msi,AMD Ryzen 7,5700U,8.0,DDR4,SSD,512.0,AMD Radeon Graphics,15.6,18287000,hkc.vn,19590000,astervietnam.com,19799000.0,mylook.vn
Microsoft,Intel Core Ultra 5,135U,32.0,LPDDR5x,SSD,512.0,Intel Arc Graphics,13.0,40000000,surfacestore.com.vn,40999000,surfacechain.vn,42999000.0,tritienlaptop.com
Dell,Intel Core i5,6200U,8.0,DDR3,HDD,1024.0,Other GPU,15.6,13500000,hoanghaipc.vn,14238000,osc.vn,14990000.0,laptopminhha.vn
Hp,Ryzen 5,7640HS,32.0,DDR5,SSD,512.0,RTX 4050,16.1,22290000,tymo.vn,22990000,laptopworld.vn,23699000.0,eaz.com.vn
Msi,Intel Core i7,10875H,16.0,DDR4,SSD,1024.0,RTX 2070,15.6,52999000,eaz.com.vn,54800000,mayvanphongonline.com,56500000.0,compro.com.vn
Acer,Intel Core i5,13420H,16.0,DDR5,SSD,512.0,Other GPU,15.6,17590000,cellphones.com.vn,23990000,dienmayxanh.com,26000000.0,hkc.vn
Dell,Intel Core i7,1255U,16.0,DDR4,SSD,512.0,Other GPU,14.0,28400000,tinhocsangtao.vn,29700000,hungphuc.vn,28200000.0,laptopfull.com
Dell,Intel Core i5,7200U,4.0,DDR4,HDD,1024.0,Other GPU,14.0,12492500,cameranhapkhau.com,11750000,vinhhung.com.vn,11880000.0,osc.vn
Msi,Intel Core Ultra 9,185H,32.0,LPDDR5,SSD,1024.0,RTX 4060,16.0,73600000,shopee.vn,50299000,eaz.com.vn,50590000.0,thegioitinhoc.net
Lenovo,AMD Ryzen 5,7533HS,24.0,DDR5,SSD,512.0,AMD Radeon Graphics,16.0,24990000,fptshop.com.vn,16290000,laptopworld.vn,16990000.0,mega.com.vn
Dell,Intel Core i5,8265U,4.0,DDR4,HDD,1024.0,AMD Radeon Graphics,14.0,14590000,vinhhung.com.vn,14650000,compro.com.vn,16290000.0,songphuong.vn
Lenovo,Intel core Ultra 5,125H,16.0,DDR5,SSD,512.0,Intel Arc Graphics,16.0,20390000,khothietbi.vn,20699000,eaz.com.vn,20800000.0,laptop123.com.vn
Lenovo,Intel Core i7,1355U,32.0,DDR5,SSD,512.0,Intel Iris Xe,14.0,33180000,hungphuc.vn,28850000,skycomputer.vn,33699000.0,eaz.com.vn
