mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
13.946598863601684,0.14861309318958854,0.028090429306030274,0.006822138720794103,0.8,0,0,15,1200,80,8,0.08,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 1200, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-6.401352572399392,-5.344080969461866,-5.367230647304845,-5.696379640859677,-5.954942574039466,-5.7527972808130485,0.3950646245756549,28,5.7527972808130485
25.07387442588806,1.6579783410843243,0.03969311714172363,0.0010134553082666122,1.0,1,0,127,1600,10,6,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 127, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.565884226071483,-5.326731662359035,-5.303831956779203,-5.462024145342014,-5.7780461576577835,-5.487303629641904,0.17366081393272917,13,5.487303629641904
616.5218124389648,0.5199698886281191,0.051767158508300784,0.010770051682336398,1.0,1,1,127,1200,10,-1,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 1200, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-5.665747095563922,-5.269577868700701,-5.260272695046649,-5.504831568976798,-5.764327768070118,-5.492951399271638,0.20380369878446894,14,5.492951399271638
4.2348321914672855,0.1483688269745978,0.011059427261352539,0.001795301035874265,0.7,5,0.01,127,500,10,4,0.03,0.9,"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.01, 'num_leaves': 127, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-5.665667211994953,-5.447452928881728,-5.345198179017791,-5.939140030116072,-5.766591796088274,-5.632810029219764,0.21442623723688384,24,5.632810029219764
5.0795605182647705,0.1708634760031478,0.01364436149597168,0.0025829636015172043,0.7,5,0,31,800,80,4,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-6.29854106970164,-6.566621140457777,-6.340442046657962,-6.488293686597954,-6.6535163277181155,-6.4694828542266904,0.13381377892155166,40,6.4694828542266904
6.386122560501098,0.285488994186543,0.013422393798828125,0.0014625280533366934,1.0,5,0.1,31,800,10,4,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-5.550002964518158,-5.162611850784,-5.084869716755874,-5.558168628706456,-5.618923671795679,-5.394915366512033,0.22404318327537004,4,5.394915366512033
7.546942806243896,0.18870337043549684,0.019469499588012695,0.003362701000404256,0.8,0.1,0,127,800,80,6,0.03,1.0,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-6.294005068209203,-5.759326366350803,-5.634761051452298,-6.057759861465696,-6.12008405170772,-5.973187279837144,0.24162948448451319,32,5.973187279837144
24.31496024131775,0.10707532032911356,0.02563333511352539,0.004941402269919593,1.0,1,1,63,500,40,-1,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.615522718893379,-5.454095561944465,-5.187099531668449,-5.68798552366173,-5.962557935440068,-5.581452254321618,0.2567042933690056,21,5.581452254321618
10.341381788253784,0.9120709598460032,0.02706284523010254,0.0058994687635143565,0.7,1,0.01,31,1600,40,4,0.08,1.0,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 1600, 'min_child_samples': 40, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-5.5718679998505625,-5.252708550329268,-5.16614839418134,-5.603248041993062,-5.77350119897152,-5.47349483706515,0.22791463792118144,12,5.47349483706515
548.8879302978515,0.5512466086746456,0.021440839767456053,0.0017538306087928155,0.9,0.1,0,127,800,40,-1,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-5.6235359126188715,-5.420270800649873,-5.22938773338196,-5.689708984006692,-5.92099453650245,-5.5767795934319695,0.23605051760994492,20,5.5767795934319695
215.64887714385986,254.85176369094793,0.017924928665161134,0.003004947673846339,0.9,0,1,15,1600,40,6,0.03,1.0,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 40, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-5.555099642496548,-5.357026582569896,-5.210309935680052,-5.731597545889701,-5.824671140121897,-5.535740969351619,0.22806112781436624,19,5.535740969351619
9.411122703552246,0.2839321239104794,0.011438226699829102,0.0011418114683552601,0.8,0,0.1,15,1200,10,-1,0.08,1.0,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 1200, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-5.684615391695185,-5.220976090887805,-5.259160249875447,-5.49675411181359,-5.683479628920993,-5.468997094638604,0.19940430249216762,10,5.468997094638604
13.121914339065551,0.2925048625038605,0.019533491134643553,0.0008991128541879138,1.0,0,1,15,1600,10,10,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-5.530181981400084,-5.1284282557504435,-5.134301430959554,-5.411421229784039,-5.6202737275658325,-5.36492132509199,0.20188743523317948,1,5.36492132509199
60.25556173324585,0.9022088142421494,0.0994020938873291,0.021401568802979765,1.0,0,0.1,127,1600,20,-1,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 1600, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-5.7053771429493345,-5.540440418939338,-5.43041979324594,-5.80738313976137,-5.891087189522672,-5.674941536883731,0.16915524306627328,27,5.674941536883731
15.801150369644166,0.15424069727304016,0.015885448455810545,0.002682606818475481,1.0,0.01,0.01,63,500,40,-1,0.01,0.7,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-5.796216493170568,-5.905745147793068,-5.6641851296047,-6.078362116604903,-6.580296062793618,-6.004960989993371,0.31810199832848185,33,6.004960989993371
11.364166307449342,1.1687926133479116,0.024846553802490234,0.004926693379472433,1.0,1,0,15,1600,10,10,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-5.499614337674383,-5.189153913284848,-5.162809236789615,-5.5550373139254665,-5.67037998795426,-5.4153989579257145,0.203270663783589,5,5.4153989579257145
