sample_index,actual_price,predicted_price,residual,abs_error,ape_pct,model_label,ram_gb,storage_gb,condition_score,screen_size_inch,price_segment,feature__ram_gb,feature__storage_gb,feature__screen_size_inch,feature__brand_is_rare,feature__model_is_rare,feature__ram_missing,feature__storage_missing,feature__screen_missing,feature__no_info_brand,feature__no_info_model,feature__no_info_cpu_brand,feature__no_info_cpu_tier,feature__no_info_gpu,feature__storage_ssd,feature__storage_hdd,feature__no_info_storage,feature__condition_score,feature__cpu_tier_encoded,feature__brand_ASUS,feature__brand_Acer,feature__brand_Apple,feature__brand_Dell,feature__brand_HP,feature__brand_LG,feature__brand_Lenovo,feature__brand_MSI,feature__brand_Microsoft,feature__model_Aspire,feature__model_Elitebook,feature__model_Elitebook 800,feature__model_Gaming Thin GF,feature__model_IdeaPad,feature__model_Inspiron,feature__model_Latitude,feature__model_Latitude 14 7000,feature__model_Latitude E Series,feature__model_Legion,feature__model_Legion 5,feature__model_MacBook Air,feature__model_MacBook Air M1,feature__model_MacBook Air M2,feature__model_MacBook Pro,feature__model_MacBook Pro M1,feature__model_MacBook Pro M2,feature__model_Macbook air m4,feature__model_Nitro 5,feature__model_Pavilion 15,feature__model_Precision,feature__model_ProBook,feature__model_ROG Strix,feature__model_TUF Gaming,feature__model_TUF Gaming F15,feature__model_ThinkPad,feature__model_ThinkPad X1 Carbon,feature__model_Vivobook 15,feature__model_Vostro,feature__model_X Series,feature__model_XPS 13,feature__cpu_brand_AMD,feature__cpu_brand_Apple,feature__cpu_brand_Intel,feature__cpu_brand_Qualcomm,feature__cpu_family_ord_filled,feature__cpu_family_group_AMD Ryzen,feature__cpu_family_group_Apple Silicon,feature__cpu_family_group_Intel Core Ultra,feature__cpu_family_group_Intel Core i,feature__cpu_family_group_Intel Low End,feature__cpu_intel_generation_ord,feature__cpu_amd_generation_ord,feature__cpu_apple_core_spec,feature__cpu_suffix_power_ord_filled,feature__gpu_tier_ord_filled,feature__warranty_expired,feature__warranty_active,feature__warranty_not_activated,feature__ram_storage_product_scaled,feature__ram_storage_balance,feature__memory_storage_score,feature__is_entry_memory_storage,feature__is_mid_memory_storage,feature__is_premium_memory_storage,feature__brand_segment_premium,feature__brand_segment_business,feature__brand_segment_gaming_value,feature__brand_segment_rare
6130,20.5,33.80233181149204,-13.30233181149204,13.30233181149204,64.88942347069288,CatBoost_tuned,32.0,512.0,3,14.0,Q4,32.0,512.0,14.0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,14,0,0,1,-1,0,0,1,2.0,1.0,13.23329096810373,0,1,0,0,1,0,0
1146,22.2,8.955802251739822,13.244197748260175,13.244197748260175,59.65854841558639,CatBoost_tuned,16.0,500.0,2,0.0,Q5_high,16.0,500.0,0.0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,-1,0,1,0,0.9765625,0.9765625,11.883032789197298,0,0,0,0,0,1,0
6647,52.718,39.68188933335613,13.036110666643872,13.036110666643872,24.7280068793275,CatBoost_tuned,8.0,2048.0,3,15.6,Q5_high,8.0,2048.0,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,10,0,0,3,3,0,0,1,2.0,0.5,12.01955630291134,0,0,0,0,0,1,0
5590,15.499,28.396465834739985,-12.897465834739984,12.897465834739984,83.21482569675453,CatBoost_tuned,16.0,0.0,3,13.5,Q4,16.0,0.0,13.5,0,0,0,1,0,1,1,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,11,0,0,1,0,0,0,1,0.0,0.0,5.666426688112432,0,0,0,0,0,0,0
5580,27.8,40.56865574779727,-12.768655747797272,12.768655747797272,45.93041635898299,CatBoost_tuned,16.0,0.0,3,16.0,Q5_high,16.0,0.0,16.0,0,0,0,1,0,1,1,0,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,7,0,4,4,0,0,1,0.0,0.0,5.666426688112432,0,0,0,0,0,0,0
5874,27.299,14.532321984746217,12.766678015253785,12.766678015253785,46.76610137826947,CatBoost_tuned,8.0,256.0,3,14.0,Q5_high,8.0,256.0,14.0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,1,-1,0,0,1,0.25,0.5,9.94352523956766,1,0,0,0,1,0,0
6863,44.39,31.63695345388723,12.75304654611277,12.75304654611277,28.729548425575064,CatBoost_tuned,16.0,512.0,3,13.3,Q5_high,16.0,512.0,13.3,0,0,0,0,0,0,1,0,0,1,1,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,14,0,0,1,-1,0,0,1,1.0,1.0,11.906702533283202,0,1,0,0,1,0,0
5646,17.5,30.13380238418405,-12.633802384184053,12.633802384184053,72.19315648105173,CatBoost_tuned,16.0,1024.0,3,15.6,Q4,16.0,1024.0,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,13,0,0,3,0,0,0,1,2.0,1.0,12.598874579684942,0,1,0,0,1,0,0
2520,30.0,42.60291847568085,-12.602918475680852,12.602918475680852,42.009728252269504,CatBoost_tuned,64.0,1024.0,2,17.95,Q5_high,64.0,1024.0,17.95,0,0,0,0,0,0,1,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,0,1,0,8.0,2.0,15.281222431363783,0,1,1,0,0,1,0
2685,20.5,33.01921592071565,-12.519215920715652,12.519215920715652,61.0693459547105,CatBoost_tuned,32.0,1024.0,3,15.95,Q4,32.0,1024.0,15.95,0,0,0,0,0,0,1,0,0,0,1,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,2,0,1,0,4.0,2.0,13.92546301450547,0,1,1,0,1,0,0
