model,target,n,mae,rmse,mape,median_absolute_error,mean_residual,median_residual,underprediction_rate,overprediction_rate,severe_error_rate,extreme_error_rate,r2,scope,segment,dropped_group,n_features_removed,n_features_kept,mae_delta_vs_baseline
CatBoost,log_target_price,1442,3.6635006094273725,5.957295838143137,0.3053389574081609,2.1141078407309846,0.7750934410939744,-0.008163192375356232,0.49930651872399445,0.5006934812760055,0.13800277392510402,0.033287101248266296,0.8520381081628163,global,All,cpu,3,73,0.2988998333995734
CatBoost,log_target_price,364,1.4796636558765917,2.343038805404467,0.481635528243433,0.9403877117935402,-1.1078860365358678,-0.7238151326672999,0.2774725274725275,0.7225274725274725,0.28846153846153844,0.10989010989010989,-2.38722666243626,segment,Low,cpu,3,73,
CatBoost,log_target_price,355,3.3774991193822324,4.3510242209502366,0.23535745324785654,2.7236317827251764,0.06266113333801682,0.6712396768730766,0.5492957746478874,0.4507042253521127,0.09295774647887324,0.0028169014084507044,-2.3462775691615554,segment,High,cpu,3,73,
CatBoost,log_target_price,358,7.582873624077123,10.448274113412197,0.2135379492567291,5.2070111627202476,4.88235344986842,3.647303525763258,0.7122905027932961,0.2877094972067039,0.05865921787709497,0.0,0.7102911442230745,segment,Premium,cpu,3,73,
CatBoost,log_target_price,1442,3.620003296921385,5.841874675558894,0.29508853712094474,2.089208866550405,0.48681475600136703,-0.08231251154620467,0.4882108183079057,0.5117891816920943,0.13522884882108183,0.02912621359223301,0.857716017611061,global,All,gpu,6,70,0.2554025208935857
CatBoost,log_target_price,364,1.3716574120362794,2.002434592084275,0.44355264960614,0.932773234340148,-0.9829329459154867,-0.7407335451531567,0.2664835164835165,0.7335164835164835,0.2802197802197802,0.08791208791208792,-1.474012984076237,segment,Low,gpu,6,70,
CatBoost,log_target_price,355,3.4630832254078605,4.53281504108316,0.24143161152973416,2.8170369156688064,-0.01057879005046685,0.6934948904461802,0.5774647887323944,0.4225352112676056,0.08732394366197183,0.005633802816901409,-2.631741736488465,segment,High,gpu,6,70,
CatBoost,log_target_price,358,7.541765769100394,10.209207285919208,0.2185076594246161,5.676811989999916,3.5958708434603386,2.996784259543496,0.664804469273743,0.33519553072625696,0.05027932960893855,0.00558659217877095,0.7233971194805884,segment,Premium,gpu,6,70,
CatBoost,log_target_price,1442,3.554794589569142,5.77870457193004,0.2988392130586842,2.0479327325964887,0.8132434579626913,0.08336933784795297,0.5166435506241331,0.48335644937586686,0.1317614424410541,0.03467406380027739,0.8607765071995991,global,All,other,36,40,0.19019381354134302
CatBoost,log_target_price,364,1.4569313957083376,2.1476205867619163,0.4795834403201876,1.0030944442158853,-1.0621341457561826,-0.7806965356964928,0.28846153846153844,0.7115384615384616,0.2967032967032967,0.10989010989010989,-1.8457740389124981,segment,Low,other,36,40,
CatBoost,log_target_price,355,3.2621620952494226,4.106661851102414,0.22993368570837586,2.664491337873967,0.42879683072507735,1.0677823434720715,0.6056338028169014,0.39436619718309857,0.07323943661971831,0.0028169014084507044,-1.9809648024099755,segment,High,other,36,40,
CatBoost,log_target_price,358,7.422195732705116,10.227956225634829,0.21170664977717663,5.512375858854613,4.486101384779593,3.316776424199169,0.6787709497206704,0.32122905027932963,0.03910614525139665,0.002793296089385475,0.7223802388212841,segment,Premium,other,36,40,
CatBoost,log_target_price,1442,3.689443371364229,5.945346984324226,0.31529913449832175,2.1388641466936313,0.6127980008039389,0.06029984132098676,0.5083217753120666,0.49167822468793343,0.1539528432732316,0.03952843273231623,0.8526310624176437,global,All,ram,2,74,0.3248425953364298
CatBoost,log_target_price,364,1.6923016493677216,2.461967104592624,0.5417086707759721,1.1960635192721165,-1.2715453176429174,-0.8941351771781414,0.25274725274725274,0.7472527472527473,0.34065934065934067,0.13186813186813187,-2.739812148198041,segment,Low,ram,2,74,
CatBoost,log_target_price,355,3.3748104002206616,4.333678807667829,0.2355186220438652,2.8059209136145196,0.4539091610227873,1.08299523824126,0.6,0.4,0.09295774647887324,0.0028169014084507044,-2.3196507931486687,segment,High,ram,2,74,
CatBoost,log_target_price,358,7.69016142638988,10.421432709291478,0.21826944419403077,5.720748501617708,3.7731717472879938,3.072434136014257,0.6759776536312849,0.3240223463687151,0.055865921787709494,0.002793296089385475,0.7117777445841764,segment,Premium,ram,2,74,
CatBoost,log_target_price,1442,3.4554600600754792,5.575844106511598,0.2909387378569969,1.9732284092827488,0.4609406364864656,-0.03841992933442917,0.49029126213592233,0.5097087378640777,0.13106796116504854,0.027739251040221916,0.8703797704551356,global,All,screen,2,74,0.09085928404768007
CatBoost,log_target_price,364,1.438443131361146,2.10888220316011,0.46418713765782826,0.9691784753082029,-1.0698745579516389,-0.7672610618361391,0.25824175824175827,0.7417582417582418,0.29120879120879123,0.09340659340659341,-1.744036854547526,segment,Low,screen,2,74,
CatBoost,log_target_price,355,3.311763543220147,4.2986087078272925,0.23087889765032166,2.722773352443223,0.045269003988306585,0.6663925808968365,0.5746478873239437,0.4253521126760563,0.08450704225352113,0.0028169014084507044,-2.2661399419100667,segment,High,screen,2,74,
CatBoost,log_target_price,358,7.027201322683486,9.692399289477505,0.19849581424693713,5.018487509855241,3.4445292487351384,2.4767334322490644,0.6564245810055865,0.3435754189944134,0.04189944134078212,0.0,0.7506925542606714,segment,Premium,screen,2,74,
CatBoost,log_target_price,1442,3.660757050960246,6.042560470504272,0.3184047578035109,2.1538092722002506,0.718677449235379,0.02734740883892295,0.5034674063800277,0.49653259361997226,0.14979195561719832,0.04299583911234397,0.8477723472564773,global,All,storage,5,71,0.2961562749324469
CatBoost,log_target_price,364,1.6074016417007815,2.3106825520008996,0.5421724099050746,1.0337498249907244,-1.2456508637300536,-0.8785248781699153,0.2554945054945055,0.7445054945054945,0.34615384615384615,0.14835164835164835,-2.2943206328389665,segment,Low,storage,5,71,
CatBoost,log_target_price,355,3.3879702753517327,4.384804386170336,0.235549257526393,2.5989546227850493,0.31318489628252905,1.1322141218241235,0.6028169014084507,0.3971830985915493,0.09295774647887324,0.005633802816901409,-2.3984384401448313,segment,High,storage,5,71,
CatBoost,log_target_price,358,7.49476175879134,10.66460261503418,0.20940951274017053,5.229167108547019,4.175252767339423,3.0468891608955317,0.6620111731843575,0.33798882681564246,0.0446927374301676,0.002793296089385475,0.6981702737794506,segment,Premium,storage,5,71,
