target,feature,importance,importance_pct,rank,group
target_price,model_MacBook Air M2,0.002258532293844516,2.2585322938445165e-05,58,other
target_price,model_TUF Gaming,0.0017926372633274483,1.7926372633274485e-05,59,other
target_price,model_X Series,0.0016955249317774442,1.6955249317774443e-05,60,other
target_price,model_MacBook Air,0.0014861533812120802,1.4861533812120804e-05,61,other
target_price,brand_Toshiba,0.0012167850284821944,1.2167850284821946e-05,62,brand
target_price,model_IdeaPad,0.001176567355360798,1.176567355360798e-05,63,other
target_price,model_is_rare,0.001159817684399688,1.1598176843996883e-05,64,other
target_price,model_Vostro,0.0003592071886504844,3.5920718865048445e-06,65,other
target_price,model_Elitebook,0.0001656298646245289,1.6562986462452894e-06,66,other
target_price,model_Vivobook 15,0.00013060632450105254,1.3060632450105255e-06,67,other
target_price,model_Aspire,5.8248944130719536e-05,5.824894413071954e-07,68,other
target_price,model_Latitude,0.0,0.0,69,other
target_price,model_MacBook Pro M2,0.0,0.0,69,other
target_price,cpu_brand_Microsoft SQ,0.0,0.0,69,brand
target_price,model_Latitude 14 7000,0.0,0.0,69,other
target_price,model_ProBook,0.0,0.0,69,other
target_price,model_Pavilion 15,0.0,0.0,69,other
target_price,model_Elitebook 800,0.0,0.0,69,other
target_price,model_Inspiron,0.0,0.0,69,other
log_target_price,ram_gb,19.39056499105717,0.1939056499105716,1,ram
log_target_price,warranty_encoded,18.73235582558243,0.18732355825582422,2,other
log_target_price,no_info_condition,18.12192333258744,0.1812192333258743,3,other
log_target_price,storage_gb,14.695025845091116,0.14695025845091111,4,storage
log_target_price,cpu_tier_encoded,6.710265617428066,0.06710265617428063,5,cpu
log_target_price,cpu_brand_Apple,6.647472106079626,0.06647472106079623,6,brand
log_target_price,screen_size_inch,2.3847328607762055,0.023847328607762047,7,screen
log_target_price,gpu_tier_ord_filled,1.9068720165722277,0.01906872016572227,8,gpu
log_target_price,cpu_brand_Intel,1.6273438554203639,0.016273438554203632,9,brand
log_target_price,gpu_type_Dedicated,1.2159051764889772,0.012159051764889767,10,gpu
log_target_price,storage_hdd,1.0168067121517286,0.010168067121517282,11,storage
log_target_price,brand_Apple,0.8986025330208328,0.008986025330208324,12,brand
log_target_price,brand_Microsoft,0.5130063028856788,0.0051300630288567866,13,brand
log_target_price,condition_score,0.49969762394856215,0.004996976239485619,14,cpu
log_target_price,gpu_type_Integrated,0.45494875920454775,0.004549487592045476,15,gpu
log_target_price,no_info_cpu_tier,0.4425995715105689,0.004425995715105687,16,cpu
log_target_price,ram_missing,0.36444552081017456,0.003644455208101744,17,ram
log_target_price,no_info_storage,0.28331004133978455,0.0028331004133978445,18,storage
log_target_price,cpu_brand_AMD,0.27901493207710015,0.0027901493207710005,19,brand
log_target_price,brand_Dell,0.2668467399334755,0.002668467399334754,20,brand
log_target_price,model_MacBook Pro,0.2107061612056764,0.0021070616120567633,21,other
log_target_price,storage_missing,0.20183850122096078,0.0020183850122096067,22,storage
log_target_price,brand_Acer,0.19067912548766838,0.001906791254876683,23,brand
log_target_price,brand_Lenovo,0.19030998902574056,0.0019030998902574048,24,brand
log_target_price,brand_ASUS,0.1795823704657605,0.0017958237046576042,25,brand
log_target_price,gpu_type_Missing_Info,0.16991939353969107,0.00169919393539691,26,gpu
log_target_price,model_Latitude E Series,0.165126738194114,0.0016512673819411392,27,other
log_target_price,brand_MSI,0.1615168078950189,0.0016151680789501883,28,brand
log_target_price,model_Legion 5,0.1338506034956723,0.0013385060349567224,29,other
log_target_price,no_info_model,0.13361934813004137,0.001336193481300413,30,other
log_target_price,model_MacBook Air M1,0.12303746950417326,0.001230374695041732,31,other
log_target_price,no_info_gpu,0.12162689214580623,0.0012162689214580617,32,gpu
log_target_price,storage_ssd,0.11386408854375453,0.001138640885437545,33,storage
log_target_price,brand_HP,0.09762862465833873,0.0009762862465833869,34,brand
log_target_price,model_Other,0.09032985907183777,0.0009032985907183773,35,other
log_target_price,brand_LG,0.08843609637746735,0.0008843609637746732,36,brand
log_target_price,model_ThinkPad,0.08468815170087514,0.000846881517008751,37,other
log_target_price,brand_Sony,0.08390368097864391,0.0008390368097864388,38,brand
log_target_price,model_Nitro 5,0.07008621355424549,0.0007008621355424547,39,other
log_target_price,model_XPS 13,0.06605586050806052,0.0006605586050806049,40,other
log_target_price,no_info_cpu_brand,0.06572013863444473,0.000657201386344447,41,brand
log_target_price,brand_is_rare,0.061017770961810915,0.0006101777096181089,42,brand
log_target_price,model_is_rare,0.05511872590133483,0.0005511872590133481,43,other
log_target_price,brand_Other,0.052366241142798364,0.0005236624114279834,44,brand
log_target_price,model_Inspiron,0.05200601740042539,0.0005200601740042536,45,other
log_target_price,cpu_brand_Other,0.045233432149391635,0.00045233432149391616,46,brand
log_target_price,model_Legion,0.04141713851397956,0.0004141713851397954,47,other
log_target_price,model_TUF Gaming F15,0.038304260268317764,0.00038304260268317745,48,other
log_target_price,brand_Toshiba,0.03752459010321481,0.00037524590103214794,49,brand
log_target_price,model_MacBook Pro M1,0.03266104906344569,0.00032661049063445675,50,other
log_target_price,model_MacBook Air,0.032600671122160814,0.000326006711221608,51,other
log_target_price,model_X Series,0.03196640421140142,0.0003196640421140141,52,other
log_target_price,model_Macbook air m4,0.029361571115938546,0.00029361571115938534,53,other
log_target_price,screen_missing,0.027293798924941822,0.0002729379892494181,54,screen
log_target_price,model_Vostro,0.02619981703635366,0.0002619981703635365,55,other
log_target_price,model_IdeaPad,0.025285106250766624,0.00025285106250766615,56,other
log_target_price,model_Gaming Thin GF,0.02441281699246689,0.0002441281699246688,57,other
log_target_price,model_ROG Strix,0.023648433029743544,0.00023648433029743534,58,other
log_target_price,model_ProBook,0.023142711428877544,0.00023142711428877533,59,other
log_target_price,model_TUF Gaming,0.022097566041437124,0.00022097566041437113,60,other
log_target_price,model_Precision,0.021070403248138275,0.00021070403248138266,61,other
log_target_price,model_Elitebook,0.016578386865422682,0.00016578386865422675,62,other
log_target_price,cpu_brand_Qualcomm,0.01612227237520448,0.00016122272375204471,63,brand
log_target_price,no_info_brand,0.014979180868589145,0.0001497918086858914,64,brand
log_target_price,model_ThinkPad X1 Carbon,0.014127767920933036,0.0001412776792093303,65,other
log_target_price,model_MacBook Air M2,0.007853965756759373,7.85396575675937e-05,66,other
