sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
1407,1.9,5.624713749862042,-3.7247137498620417,3.7247137498620417,-1.9603756567903503,1.9603756567903503,2.960375656264034,Low,extreme_error,LightGBM,log_target_price
6957,12.89,38.12208370382955,-25.232083703829552,25.232083703829552,-1.957492917135148,1.957492917135148,2.9574929170575683,High,extreme_error,LightGBM,target_price
2650,1.3,3.836612725743895,-2.536612725743895,2.536612725743895,-1.95124055676358,1.95124055676358,2.951240555994349,Low,extreme_error,LightGBM,log_target_price
3362,3.0,8.85009173756936,-5.850091737569359,5.850091737569359,-1.950030578539776,1.950030578539776,2.9500305782064427,Low,extreme_error,LightGBM,target_price
4857,2.1,6.1796451343162495,-4.07964513431625,4.07964513431625,-1.9426881582731244,1.9426881582731244,2.9426881577969337,Low,extreme_error,LightGBM,log_target_price
3817,5.2,15.300786989536109,-10.100786989536108,10.100786989536108,-1.9424590360757013,1.9424590360757013,2.942459035883394,Low,extreme_error,CatBoost,log_target_price
2882,6.2,17.98451447443771,-11.78451447443771,11.78451447443771,-1.9007281407317715,1.9007281407317715,2.900728140570481,Mid,extreme_error,CatBoost,target_price
6957,12.89,37.29417505884379,-24.40417505884379,24.40417505884379,-1.8932641626804128,1.8932641626804128,2.8932641626028337,High,extreme_error,CatBoost,target_price
4173,2.5,7.113391024095592,-4.613391024095592,4.613391024095592,-1.8453564089000944,1.8453564089000944,2.8453564085000944,Low,extreme_error,LightGBM,target_price
1699,2.5,7.106283935092273,-4.606283935092273,4.606283935092273,-1.842513573299904,1.842513573299904,2.842513572899904,Low,extreme_error,LightGBM,target_price
2753,1.6,4.502450985695864,-2.902450985695864,2.902450985695864,-1.8140318649261449,1.8140318649261449,2.814031864301145,Low,extreme_error,LightGBM,log_target_price
3817,5.2,14.554555698955449,-9.354555698955448,9.354555698955448,-1.798953018683941,1.798953018683941,2.7989530184916336,Low,extreme_error,LightGBM,target_price
1726,2.5,6.987559022680999,-4.487559022680999,4.487559022680999,-1.7950236083543902,1.7950236083543902,2.7950236079543904,Low,extreme_error,LightGBM,log_target_price
1407,1.9,5.299231575429518,-3.399231575429518,3.399231575429518,-1.7890692492844469,1.7890692492844469,2.789069248758131,Low,extreme_error,CatBoost,target_price
2155,2.889,8.028625871199619,-5.13962587119962,5.13962587119962,-1.7790328381518128,1.7790328381518128,2.779032837805672,Low,extreme_error,LightGBM,target_price
6957,12.89,35.659842059922184,-22.769842059922183,22.769842059922183,-1.7664733947366724,1.7664733947366724,2.766473394659093,High,extreme_error,LightGBM,log_target_price
426,1.39,3.8192698383691166,-2.429269838369117,2.429269838369117,-1.747676141454274,1.747676141454274,2.7476761407348493,Low,extreme_error,CatBoost,target_price
4113,1.4,3.83318121826797,-2.43318121826797,2.43318121826797,-1.7379865832357029,1.7379865832357029,2.7379865825214167,Low,extreme_error,LightGBM,target_price
1934,1.3,3.477661438160247,-2.1776614381602477,2.1776614381602477,-1.675124181911633,1.675124181911633,2.675124181142402,Low,extreme_error,CatBoost,target_price
4750,1.95,5.175413938104351,-3.225413938104351,3.225413938104351,-1.654058428948868,1.654058428948868,2.654058428436048,Low,extreme_error,CatBoost,target_price
2753,1.6,4.23544464152942,-2.63544464152942,2.63544464152942,-1.647152899926417,1.647152899926417,2.6471528993014166,Low,extreme_error,LightGBM,target_price
2882,6.2,16.350953072676464,-10.150953072676463,10.150953072676463,-1.6372504953289055,1.6372504953289055,2.6372504951676152,Mid,extreme_error,CatBoost,log_target_price
737,2.99,7.867464601547507,-4.877464601547507,4.877464601547507,-1.6312590635171396,1.6312590635171396,2.6312590631826915,Low,extreme_error,CatBoost,target_price
1979,1.1,2.892106400331832,-1.792106400331832,1.792106400331832,-1.629187635184222,1.629187635184222,2.629187634275131,Low,extreme_error,CatBoost,target_price
426,1.39,3.65123807517652,-2.26123807517652,2.26123807517652,-1.626789980971029,1.626789980971029,2.6267899802516044,Low,extreme_error,CatBoost,log_target_price
5723,5.5,14.417263476105278,-8.917263476105278,8.917263476105278,-1.6213206317243558,1.6213206317243558,2.6213206315425377,Low,extreme_error,CatBoost,target_price
