sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,target_price,log_target_price,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,no_info_condition,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
3647,3.5,18.198750055411807,CatBoost,target_price,-14.698750055411807,14.698750055411807,216.0532531914686,-4.199642871774904,4.199642871774904,5.19964287148919,Low,extreme_error,16.0,1024.0,15.95,0,0,0,0,0,3.5,1.5040773967762742,0,1,0,0,0,0,0,1,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
3647,3.5,18.1566990349141,LightGBM,log_target_price,-14.656699034914102,14.656699034914102,214.81882660005195,-4.187628294493278,4.187628294493278,5.187628294207563,Low,extreme_error,16.0,1024.0,15.95,0,0,0,0,0,3.5,1.5040773967762742,0,1,0,0,0,0,0,1,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
3647,3.5,17.979382679886633,LightGBM,target_price,-14.479382679886632,14.479382679886632,209.65252279060104,-4.136966478785619,4.136966478785619,5.136966478499905,Low,extreme_error,16.0,1024.0,15.95,0,0,0,0,0,3.5,1.5040773967762742,0,1,0,0,0,0,0,1,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
373,1.3,6.518124087470865,CatBoost,target_price,-5.218124087470865,5.218124087470865,27.22881899224365,-4.013941602659171,4.013941602659171,5.0139416018899405,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,1.3,0.832909122935104,0,0,0,0,1,1,0,0,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
3647,3.5,17.1843104791825,CatBoost,log_target_price,-13.6843104791825,13.6843104791825,187.260353290664,-3.909802992935056,3.909802992935056,4.909802992649342,Low,extreme_error,16.0,1024.0,15.95,0,0,0,0,0,3.5,1.5040773967762742,0,1,0,0,0,0,0,1,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
3169,2.2,10.402874570803728,LightGBM,target_price,-8.20287457080373,8.20287457080373,67.28715122433846,-3.728579348670522,3.728579348670522,4.728579348215976,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,2.2,1.1631508098056809,0,1,0,0,0,0,0,1,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
373,1.3,5.870399848491413,CatBoost,log_target_price,-4.570399848491413,4.570399848491413,20.88855477509033,-3.515692188442862,3.515692188442862,4.515692187673631,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,1.3,0.832909122935104,0,0,0,0,1,1,0,0,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
1979,1.1,4.831339497940894,LightGBM,target_price,-3.7313394979408936,3.7313394979408936,13.9228944488938,-3.392126813226151,3.392126813226151,4.39212681231706,Low,extreme_error,8.0,128.0,13.95,0,0,0,0,0,1.1,0.7419373447293773,0,0,0,0,0,1,0,0,0,2.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2794,1.35,5.793899351628974,LightGBM,target_price,-4.443899351628973,4.443899351628973,19.748241447408407,-3.291777295064589,3.291777295064589,4.291777294323849,Low,extreme_error,8.0,500.0,0.0,0,0,0,0,1,1.35,0.8544153281560676,0,1,0,0,0,1,0,0,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
3169,2.2,9.401815593680327,CatBoost,target_price,-7.201815593680327,7.201815593680327,51.86614784537712,-3.273552541093988,3.273552541093988,4.273552540639442,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,2.2,1.1631508098056809,0,1,0,0,0,0,0,1,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
2794,1.35,5.765031714378168,CatBoost,target_price,-4.415031714378168,4.415031714378168,19.492505038965025,-3.270393860079833,3.270393860079833,4.270393859339091,Low,extreme_error,8.0,500.0,0.0,0,0,0,0,1,1.35,0.8544153281560676,0,1,0,0,0,1,0,0,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
