sample_id,model_name,target_used,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,cpu_family_ord_filled,cpu_family_group_AMD Ryzen,cpu_family_group_Apple Silicon,cpu_family_group_Intel Core Ultra,cpu_family_group_Intel Core i,cpu_family_group_Intel Low End,cpu_intel_generation_ord,cpu_amd_generation_ord,cpu_apple_core_spec,cpu_qualcomm_snapdragon_spec,cpu_suffix_power_ord_filled,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
5654,LightGBM,target_price,44.99,64.89513639496906,-19.905136394969052,19.905136394969052,0.4424346831412896,1.4424346831190626,Premium,moderate_error,32.0,2048.0,13.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,15,0,0,0,1,0,0,0,1,0
6145,LightGBM,target_price,42.45,61.874991610420096,-19.424991610420093,19.424991610420093,0.4575969754997054,1.4575969754761484,Premium,moderate_error,32.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,13,0,0,0,4,4,0,1,0,0
2770,LightGBM,target_price,29.999999,11.296015584519376,18.70398341548062,18.70398341548062,0.6234661346107764,0.3765338653558902,Premium,severe_error,16.0,1024.0,15.95,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5978,LightGBM,target_price,119.9,101.90827618370128,17.99172381629873,17.99172381629873,0.15005607853335,0.8499439214583097,Premium,premium_underprediction,32.0,2048.0,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,10,0,0,0,4,3,0,1,0,0
5517,LightGBM,target_price,51.999,34.44315886196562,17.55584113803438,17.55584113803438,0.33761882224075,0.6623811777400188,Premium,premium_underprediction,32.0,1024.0,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,13,0,0,0,3,3,0,1,0,0
6514,LightGBM,target_price,69.99,52.43669483912717,17.553305160872824,17.553305160872824,0.2507973304846696,0.7492026695010425,Premium,premium_underprediction,32.0,0.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
6845,LightGBM,target_price,49.5,32.076170604843746,17.423829395156254,17.423829395156254,0.351996553430389,0.648003446549409,Premium,premium_underprediction,16.0,1024.0,16.0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,13,0,0,0,3,4,0,1,0,0
6875,LightGBM,target_price,44.199,26.82093977348847,17.37806022651153,17.37806022651153,0.3931776788189405,0.6068223211584346,Premium,premium_underprediction,16.0,512.0,13.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,11,0,0,0,1,0,0,0,1,0
7234,LightGBM,target_price,54.95,37.79633459969562,17.153665400304384,17.153665400304384,0.3121686151044989,0.6878313848773028,Premium,premium_underprediction,16.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,14,0,0,0,4,4,0,1,0,0
5661,LightGBM,target_price,63.05,79.87736613635992,-16.827366136359927,16.827366136359927,0.2668892329277246,1.2668892329118644,Premium,moderate_error,32.0,2048.0,17.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,12,0,0,0,3,3,0,1,0,0
