sample_id,feature,feature_group,feature_value,flag,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type
6021,gpu_tier_ord_filled,gpu,5.0,rare_value,78.2,67.3459761133478,10.8540238866522,10.8540238866522,0.1387982594183299,0.8612017405688823,Premium,premium_underprediction
6262,ram_gb,ram,128.0,high_extreme_value,110.99,96.63678794102051,14.35321205897948,14.35321205897948,0.1293198671848829,0.8706801328061072,Premium,premium_underprediction
6262,ram_gb,ram,128.0,rare_value,110.99,96.63678794102051,14.35321205897948,14.35321205897948,0.1293198671848829,0.8706801328061072,Premium,premium_underprediction
6277,ram_gb,ram,36.0,rare_value,62.5,73.2690913591971,-10.769091359197104,10.769091359197104,0.1723054617443968,1.1723054617283968,Premium,normal
6497,ram_gb,ram,64.0,high_extreme_value,96.79,109.18884588706352,-12.398845887063516,12.398845887063516,0.1281004844192108,1.1281004844088791,Premium,normal
6497,ram_gb,ram,64.0,rare_value,96.79,109.18884588706352,-12.398845887063516,12.398845887063516,0.1281004844192108,1.1281004844088791,Premium,normal
6571,ram_gb,ram,128.0,high_extreme_value,129.29,117.90293915591393,11.387060844086063,11.387060844086063,0.0880737941371953,0.91192620585507,Premium,premium_underprediction
6571,ram_gb,ram,128.0,rare_value,129.29,117.90293915591393,11.387060844086063,11.387060844086063,0.0880737941371953,0.91192620585507,Premium,premium_underprediction
6571,screen_size_inch,screen,18.0,high_extreme_value,129.29,117.90293915591393,11.387060844086063,11.387060844086063,0.0880737941371953,0.91192620585507,Premium,premium_underprediction
6575,cpu_intel_generation_ord,cpu,1.0,rare_value,38.0,17.05244972250717,20.94755027749283,20.94755027749283,0.55125132307741,0.4487486768962743,Premium,severe_error
6638,ram_gb,ram,64.0,high_extreme_value,87.999,99.81088031055629,-11.81188031055629,11.81188031055629,0.1342274379302272,1.1342274379188635,Premium,normal
6638,ram_gb,ram,64.0,rare_value,87.999,99.81088031055629,-11.81188031055629,11.81188031055629,0.1342274379302272,1.1342274379188635,Premium,normal
