sample_id,model_name,target_used,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
6555,CatBoost,log_target_price,59.9,39.365705601870495,20.534294398129504,20.534294398129504,0.3428095892785759,0.6571904107047297,Premium,premium_underprediction,32.0,0.0,14.0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
6699,CatBoost,log_target_price,34.59,14.555894966981096,20.034105033018907,20.034105033018907,0.5791877719699254,0.4208122280011646,Premium,severe_error,8.0,0.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7117,CatBoost,log_target_price,69.99,50.011907837885886,19.97809216211411,19.97809216211411,0.285442094039558,0.7145579059461542,Premium,premium_underprediction,32.0,0.0,16.0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0
5692,CatBoost,log_target_price,66.99,86.12081522734938,-19.130815227349387,19.130815227349387,0.2855771790873833,1.2855771790724555,Premium,moderate_error,32.0,1024.0,16.2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
6530,CatBoost,log_target_price,51.99,33.07927015531378,18.910729844686223,18.910729844686223,0.3637378312045102,0.6362621687762554,Premium,premium_underprediction,32.0,512.0,15.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6750,CatBoost,log_target_price,46.49,28.015221271471425,18.474778728528577,18.474778728528577,0.3973925301813548,0.6026074697971353,Premium,premium_underprediction,16.0,512.0,16.0,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6847,CatBoost,log_target_price,25.4,43.874749180934266,-18.474749180934268,18.474749180934268,0.7273523299294061,1.7273523298900362,Premium,severe_error,0.0,1024.0,16.0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0
6300,CatBoost,log_target_price,36.599,18.516733038912623,18.08226696108737,18.08226696108737,0.4940645088825736,0.5059354910901033,Premium,premium_underprediction,16.0,256.0,14.4,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7067,CatBoost,log_target_price,146.99,128.95430292423433,18.03569707576568,18.03569707576568,0.1227001637910264,0.8772998362021704,Premium,premium_underprediction,128.0,4096.0,18.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
7112,CatBoost,log_target_price,53.211,35.418248086260455,17.792751913739544,17.792751913739544,0.3343810849900427,0.6656189149911642,Premium,premium_underprediction,16.0,512.0,14.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0
789,CatBoost,log_target_price,55.9,38.37794847134241,17.52205152865759,17.52205152865759,0.3134535157127753,0.6865464842693356,Premium,premium_underprediction,32.0,1024.0,15.95,0,0,0,0,0,0,1,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
6883,CatBoost,log_target_price,61.99,44.49507105451148,17.494928945488525,17.494928945488525,0.2822217929538039,0.7177782070300646,Premium,premium_underprediction,64.0,1024.0,14.0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
6490,CatBoost,log_target_price,76.0,58.800417614512654,17.199582385487346,17.199582385487346,0.2263102945429083,0.7736897054439337,Premium,premium_underprediction,24.0,4096.0,14.2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
7005,CatBoost,log_target_price,40.9,58.0967537668745,-17.1967537668745,17.1967537668745,0.4204585272971649,1.420458527272715,Premium,moderate_error,32.0,1024.0,14.5,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
7199,CatBoost,log_target_price,98.84,81.85502702111545,16.984972978884556,16.984972978884556,0.1718431098615207,0.8281568901283618,Premium,premium_underprediction,32.0,1280.0,17.3,0,0,0,0,0,0,1,0,0,0,1,1,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
1533,CatBoost,log_target_price,37.0,20.25394035407842,16.74605964592158,16.74605964592158,0.4525962066342969,0.5474037933386762,Premium,premium_underprediction,16.0,512.0,0.0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1
7202,CatBoost,log_target_price,41.99,25.35538145860568,16.63461854139432,16.63461854139432,0.3961566692307255,0.6038433307454594,Premium,premium_underprediction,8.0,1024.0,14.2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1168,CatBoost,log_target_price,45.9,29.3223351707946,16.5776648292054,16.5776648292054,0.3611691683844059,0.6388308315938076,Premium,premium_underprediction,32.0,1024.0,13.95,0,0,0,0,0,0,1,0,1,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5729,CatBoost,log_target_price,42.99,26.72909685669625,16.26090314330375,16.26090314330375,0.3782485029757037,0.6217514970010352,Premium,premium_underprediction,16.0,256.0,15.6,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
1730,CatBoost,log_target_price,41.0,24.766973619875007,16.233026380124993,16.233026380124993,0.3959274726763187,0.6040725272992912,Premium,premium_underprediction,16.0,1025.0,15.95,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1
5227,CatBoost,log_target_price,34.9,18.69323180731532,16.20676819268468,16.20676819268468,0.464377312098003,0.5356226878733438,Premium,premium_underprediction,16.0,1024.0,15.95,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1
6827,CatBoost,log_target_price,25.49,41.56667367826804,-16.07667367826804,16.07667367826804,0.6307051266236695,1.6307051265844386,Premium,severe_error,32.0,1024.0,14.0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5823,CatBoost,log_target_price,7.29,23.0205825831519,-15.7305825831519,15.7305825831519,2.157830258023878,3.157830257886704,Mid,extreme_error,8.0,256.0,13.3,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
6686,CatBoost,log_target_price,19.0,34.50182694847668,-15.501826948476683,15.501826948476683,0.8158856288242525,1.815885628771621,Premium,severe_error,16.0,1024.0,15.6,0,0,0,0,0,0,1,0,1,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0
