price_segment,feature,missing_rate,group
Premium,no_info_gpu,0.0,gpu
Premium,no_info_cpu_brand,0.0,brand
Premium,model_Legion,0.0,other
Premium,no_info_model,0.0,other
Premium,no_info_brand,0.0,brand
Premium,screen_missing,0.0,screen
Premium,storage_missing,0.0,storage
Premium,ram_missing,0.0,ram
Premium,model_is_rare,0.0,other
Premium,brand_is_rare,0.0,brand
Premium,screen_size_inch,0.0,screen
Premium,brand_Acer,0.0,brand
Premium,brand_Apple,0.0,brand
Premium,brand_Dell,0.0,brand
Premium,brand_Gigabyte,0.0,brand
Premium,model_Latitude E Series,0.0,other
Premium,model_Latitude 14 7000,0.0,other
Premium,model_Latitude,0.0,other
Premium,model_Inspiron,0.0,other
Premium,model_IdeaPad,0.0,other
Premium,model_Gaming Thin GF,0.0,other
Premium,model_Elitebook 800,0.0,other
Premium,model_Elitebook,0.0,other
Premium,model_Aspire,0.0,other
Premium,brand_Toshiba,0.0,brand
Premium,brand_Sony,0.0,brand
Premium,brand_Other,0.0,brand
Premium,brand_Microsoft,0.0,brand
Premium,brand_MSI,0.0,brand
Premium,brand_Lenovo,0.0,brand
Premium,brand_LG,0.0,brand
Premium,brand_HP,0.0,brand
Premium,gpu_type_Missing_Info,0.0,gpu
