ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,cpu_missing,gpu_missing,cpu_tier_encoded,gpu_tier_ord_filled,ram_level,storage_level,screen_size_level,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_HP,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,model_Elitebook,model_Inspiron,model_Latitude,model_MacBook Air,model_MacBook Air M1,model_MacBook Pro,model_MacBook Pro M1,model_Nitro 5,model_Other,model_Precision,model_ProBook,model_ThinkPad,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,storage_type_HDD,storage_type_Other,storage_type_SSD,storage_type_SSD + HDD,condition_Mới,condition_Unknown,condition_Đã sử dụng (chưa sửa chữa),condition_Đã sử dụng (qua sửa chữa),warranty_Active,warranty_Expired,warranty_Manufacturer,warranty_not_active,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info,target_price,log_target_price
8.0,256.0,13.95,0,0,0,0,0,0,1,5,-1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,12500000.0,16.341239282272525
16.0,256.0,0.0,0,0,0,0,1,0,1,5,-1,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4200000.0,15.250595321348806
16.0,512.0,13.95,0,0,0,0,0,1,0,0,0,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,19700000.0,16.796129244469636
32.0,512.0,15.95,0,0,0,0,0,0,0,5,2,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,18000000.0,16.705882371415992
16.0,512.0,15.95,0,0,0,0,0,0,0,6,2,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,18300000.0,16.722411672456456
32.0,512.0,15.95,0,0,0,0,0,0,0,6,2,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,14500000.0,16.489659276356317
16.0,256.0,15.95,0,0,0,0,0,0,0,7,2,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,11900000.0,16.29204904211537
16.0,512.0,15.95,0,0,0,0,0,0,0,5,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,13000000.0,16.380459992348886
32.0,512.0,13.95,0,0,0,0,0,0,0,5,0,5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,9500000.0,16.066802461833923
8.0,127.0,15.95,0,0,0,0,0,0,0,3,0,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4000000.0,15.201805169084134
